"file","group","title","artist","date","license","license_url","source_page","original_dimensions"
"02-abstraction/07-Hilma-af-Klint-no-date-Untitled-05.jpg","02-abstraction","Hilma af Klint - no date - Untitled 05","Hilma af Klint","Unknown date","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_no_date_-_Untitled_05.jpg","1052x1600"
"02-abstraction/08-Hilma-af-Klint-1890s-Untitled.jpg","02-abstraction","Hilma af Klint - 1890s - Untitled","Hilma af Klint","between 1890 and 1899 date QS:P,+1890-00-00T00:00:00Z/8,P1319,+1890-00-00T00:00:00Z/9,P1326,+1899-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1890s_-_Untitled.jpg","550x883"
"02-abstraction/09-Hilma-af-Klint-1916-No-62-group-X-Series-Parsifal.jpg","02-abstraction","Hilma af Klint - 1916 - No 62 - group X - Series Parsifal","Hilma af Klint","2015-02-19 21:10:30","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1916_-_No_62_-_group_X_-_Series_Parsifal.jpg","500x537"
"02-abstraction/10-Hilma-af-Klint-1920-Oats-A-Work-on-Cereals.jpg","02-abstraction","Hilma af Klint - 1920 - Oats, A Work on Cereals","Hilma af Klint","2015-02-19 21:10:33","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1920_-_Oats,_A_Work_on_Cereals.jpg","550x678"
"02-abstraction/11-Hilma-af-Klint-1916-No-1-From-The-Parsifal-Series.jpg","02-abstraction","Hilma af Klint - 1916 - No 1 From The Parsifal Series","Hilma af Klint","2013-05-24 16:16:14","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1916_-_No_1_From_The_Parsifal_Series.jpg","3314x3314"
"02-abstraction/12-Hilma-af-Klint-1922-Birch.jpg","02-abstraction","Hilma af Klint - 1922 - Birch","Hilma af Klint","1922","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_-_1922_-_Birch.jpg","3095x2162"
"02-abstraction/13-Eftersommar-Hilma-af-Klint-1903.jpg","02-abstraction","Eftersommar Hilma af Klint 1903","Hilma af Klint","1903 date QS:P571,+1903-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Eftersommar_Hilma_af_Klint_1903.jpeg","640x270"
"02-abstraction/14-Hilma-af-Klint-1907-The-key-to-the-work-up-to-this-point.jpg","02-abstraction","Hilma af Klint 1907 - The key to the work up to this point","Hilma af Klints Verk","10 October 2012, 10:11:09","Public domain","","https://commons.wikimedia.org/wiki/File:Hilma_af_Klint_1907_-_The_key_to_the_work_up_to_this_point.jpg","961x1200"
"02-abstraction/15-9-hilma-af-klint-no-41-group-1-1916.jpg","02-abstraction","9 hilma af klint, no 41 group 1, 1916","Hilma af Klint","2019-01-24","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:9_hilma_af_klint,_no_41_group_1,_1916.jpg","900x864"
"02-abstraction/16-12-hilma-af-klint-buddhas-standpoint-1920.jpg","02-abstraction","12 hilma af klint, buddha's standpoint, 1920","Hilma af Klint","2019-01-21","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:12_hilma_af_klint,_buddha%27s_standpoint,_1920.jpg","663x900"
"02-abstraction/17-Doesburg-Compositie-IX.jpg","02-abstraction","Doesburg--Compositie-IX","Theo van Doesburg","September 1917-early 1918 date QS:P571,+1918-00-00T00:00:00Z/9,P4241,Q40719727","Public domain","","https://commons.wikimedia.org/wiki/File:Doesburg--Compositie-IX.jpg","883x959"
"02-abstraction/18-Black-Cross.jpg","02-abstraction","Black Cross","Kazimir Malevich","motive 1915, painted 1924","Public domain","","https://commons.wikimedia.org/wiki/File:Black_Cross.jpg","651x666"
"02-abstraction/19-Spiked-Red.jpg","02-abstraction","Spiked Red","Автор не указан","2007-05-23 19:11:34","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","https://commons.wikimedia.org/wiki/File:Spiked_Red.jpg","720x535"
"02-abstraction/20-1987-Kislyakov-Geometr-93х80.jpg","02-abstraction","1987 Kislyakov Geometr 93х80","ru:Кисляков, Александр Владленович","1987","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:1987_Kislyakov_Geometr_93%D1%8580.jpg","3330x3852"
"02-abstraction/21-Theo-van-Doesburg-002.jpg","02-abstraction","Theo van Doesburg 002","Theo van Doesburg","1928 date QS:P571,+1928-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Theo_van_Doesburg_002.jpg","1105x1411"
"02-abstraction/22-Peinture-pure-1920-Theo-van-Doesburg-Musee-national-dart-moderne.jpg","02-abstraction","Peinture pure (1920) - Theo van Doesburg (Musée national d'art moderne)","Theo van Doesburg","Between 1 May 1920 and 7 July 1920 date QS:P571,+1920-00-00T00:00:00Z/9,P1319,+1920-05-01T00:00:00Z/11,P1326,+1920-07-07T00:00:00Z/11","Public domain","","https://commons.wikimedia.org/wiki/File:Peinture_pure_(1920)_-_Theo_van_Doesburg_(Mus%C3%A9e_national_d%27art_moderne).jpg","1499x2356"
"02-abstraction/23-Theo-van-Doesburg-022.jpg","02-abstraction","Theo van Doesburg 022","Theo van Doesburg","1925 date QS:P571,+1925-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Theo_van_Doesburg_022.jpg","3328x3320"
